,Blue,Green,Red,Blue : Green,Green : Red,Blue : Red,Blue * Green : Red,Green * Red : Blue,Blue * Red : Green
0,144,202,121,0.7128712871287128,1.6694214876033058,1.1900826446280992,1.322314049586777,0.8472222222222222,0.07920792079207921
1,134,191,111,0.7015706806282722,1.7207207207207207,1.2072072072072073,2.2522522522522523,1.5597014925373134,0.13612565445026178
2,146,205,127,0.7121951219512195,1.6141732283464567,1.1496062992125984,1.8425196850393701,1.226027397260274,0.5365853658536586
3,139,195,117,0.7128205128205128,1.6666666666666667,1.188034188034188,1.9230769230769231,0.22302158273381295,0.6923076923076923
4,140,195,113,0.717948717948718,1.7256637168141593,1.238938053097345,1.4513274336283186,0.1357142857142857,1.0461538461538462
5,141,196,115,0.7193877551020408,1.7043478260869565,1.2260869565217392,2.121739130434783,0.0851063829787234,0.44387755102040816
6,142,197,117,0.7208121827411168,1.6837606837606838,1.2136752136752136,0.5982905982905983,0.06338028169014084,1.16751269035533
7,144,199,121,0.7236180904522613,1.6446280991735538,1.1900826446280992,1.9834710743801653,0.10416666666666667,0.08040201005025126
8,141,196,115,0.7193877551020408,1.7043478260869565,1.2260869565217392,2.121739130434783,0.0851063829787234,0.44387755102040816
9,135,192,112,0.703125,1.7142857142857142,1.2053571428571428,0.5714285714285714,0.0,0.08333333333333333
10,134,189,109,0.708994708994709,1.7339449541284404,1.2293577981651376,2.18348623853211,0.9029850746268657,0.07407407407407407
11,130,185,107,0.7027027027027027,1.7289719626168225,1.2149532710280373,2.2616822429906542,0.6384615384615384,0.4648648648648649
12,138,193,115,0.7150259067357513,1.6782608695652175,1.2,0.08695652173913043,1.2971014492753623,1.3160621761658031
13,119,178,100,0.6685393258426966,1.78,1.19,1.9,1.1428571428571428,0.6966292134831461
14,124,183,104,0.6775956284153005,1.7596153846153846,1.1923076923076923,1.5769230769230769,0.7096774193548387,0.5245901639344263
15,123,180,104,0.6833333333333333,1.7307692307692308,1.1826923076923077,1.1923076923076923,0.2601626016260163,1.3777777777777778
16,121,180,102,0.6722222222222223,1.7647058823529411,1.1862745098039216,0.19607843137254902,1.5206611570247934,0.3
17,141,196,115,0.7193877551020408,1.7043478260869565,1.2260869565217392,2.121739130434783,0.0851063829787234,0.44387755102040816
18,140,197,117,0.7106598984771574,1.6837606837606838,1.1965811965811965,1.606837606837607,0.06428571428571428,1.2791878172588833
19,145,200,120,0.725,1.6666666666666667,1.2083333333333333,0.6,1.3241379310344827,1.24
20,134,188,110,0.7127659574468085,1.709090909090909,1.2181818181818183,0.9454545454545454,1.492537313432836,0.7872340425531915
21,133,190,111,0.7,1.7117117117117118,1.1981981981981982,1.6396396396396395,0.7368421052631579,0.9
22,123,180,102,0.6833333333333333,1.7647058823529411,1.2058823529411764,1.2156862745098038,1.4959349593495934,0.011111111111111112
23,131,186,108,0.7043010752688172,1.7222222222222223,1.212962962962963,0.42592592592592593,0.916030534351145,0.3655913978494624
24,130,185,107,0.7027027027027027,1.7289719626168225,1.2149532710280373,2.2616822429906542,0.6384615384615384,0.4648648648648649
25,138,193,115,0.7150259067357513,1.6782608695652175,1.2,0.08695652173913043,1.2971014492753623,1.3160621761658031
26,134,188,110,0.7127659574468085,1.709090909090909,1.2181818181818183,0.9454545454545454,1.492537313432836,0.7872340425531915
27,133,188,107,0.7074468085106383,1.7570093457943925,1.2429906542056075,1.6074766355140186,1.112781954887218,0.8031914893617021
28,135,189,111,0.7142857142857143,1.7027027027027026,1.2162162162162162,1.5405405405405406,1.8,0.7248677248677249
29,136,191,111,0.7120418848167539,1.7207207207207207,1.2252252252252251,1.0810810810810811,1.536764705882353,1.2984293193717278
30,142,197,117,0.7208121827411168,1.6837606837606838,1.2136752136752136,0.5982905982905983,0.06338028169014084,1.16751269035533
31,147,201,123,0.7313432835820896,1.6341463414634145,1.1951219512195121,0.8699186991869918,1.0,0.8009950248756219
32,142,197,117,0.7208121827411168,1.6837606837606838,1.2136752136752136,0.5982905982905983,0.06338028169014084,1.16751269035533
33,142,194,116,0.7319587628865979,1.6724137931034482,1.2241379310344827,1.3448275862068966,1.6338028169014085,0.4536082474226804
34,140,194,114,0.7216494845360825,1.7017543859649122,1.2280701754385965,0.21052631578947367,0.7142857142857143,0.4536082474226804
35,141,196,114,0.7193877551020408,1.719298245614035,1.236842105263158,2.1403508771929824,0.5106382978723404,1.030612244897959
36,134,191,111,0.7015706806282722,1.7207207207207207,1.2072072072072073,2.2522522522522523,1.5597014925373134,0.13612565445026178
37,134,192,107,0.6979166666666666,1.794392523364486,1.2523364485981308,1.1962616822429906,0.47761194029850745,0.010416666666666666
38,144,203,116,0.7093596059113301,1.75,1.2413793103448276,0.41379310344827586,1.75,0.31527093596059114
39,147,208,122,0.7067307692307693,1.7049180327868851,1.2049180327868851,0.9180327868852459,0.21768707482993196,0.0673076923076923
40,149,207,124,0.7198067632850241,1.6693548387096775,1.2016129032258065,0.9919354838709677,0.4563758389261745,0.21256038647342995
41,140,201,114,0.6965174129353234,1.763157894736842,1.2280701754385965,2.0701754385964914,0.9285714285714286,0.43781094527363185
42,140,198,113,0.7070707070707071,1.752212389380531,1.238938053097345,0.6371681415929203,0.7285714285714285,1.0303030303030303
43,138,198,113,0.696969696969697,1.752212389380531,1.2212389380530972,1.663716814159292,0.7391304347826086,1.1818181818181819
44,139,202,117,0.6881188118811881,1.7264957264957266,1.188034188034188,1.4871794871794872,0.5899280575539568,0.6683168316831684
45,137,197,112,0.6954314720812182,1.7589285714285714,1.2232142857142858,0.9732142857142857,0.35036496350364965,1.218274111675127
