,Blue,Green,Red,Blue : Green,Green : Red,Blue : Red,Blue * Green : Red,Green * Red : Blue,Blue * Red : Green
0,122,106,250,1.150943396226415,0.424,0.488,0.528,1.0819672131147542,0.33962264150943394
1,129,110,254,1.1727272727272726,0.4330708661417323,0.5078740157480315,0.4330708661417323,0.27906976744186046,2.309090909090909
2,130,111,246,1.1711711711711712,0.45121951219512196,0.5284552845528455,0.3821138211382114,1.3076923076923077,2.126126126126126
3,122,105,240,1.161904761904762,0.4375,0.5083333333333333,0.041666666666666664,0.9180327868852459,0.9142857142857143
4,125,107,244,1.1682242990654206,0.4385245901639344,0.5122950819672131,0.2581967213114754,2.016,0.3364485981308411
5,124,106,235,1.169811320754717,0.451063829787234,0.5276595744680851,0.37446808510638296,0.6290322580645161,2.0
6,124,106,235,1.169811320754717,0.451063829787234,0.5276595744680851,0.37446808510638296,0.6290322580645161,2.0
7,129,111,241,1.162162162162162,0.4605809128630705,0.5352697095435685,0.991701244813278,0.9844961240310077,1.018018018018018
8,123,105,234,1.1714285714285715,0.44871794871794873,0.5256410256410257,0.49145299145299143,2.032520325203252,1.0476190476190477
9,122,104,233,1.1730769230769231,0.44635193133047213,0.5236051502145923,0.6180257510729614,1.3770491803278688,0.09615384615384616
10,121,103,231,1.174757281553398,0.4458874458874459,0.5238095238095238,0.7575757575757576,1.9917355371900827,0.4563106796116505
11,122,104,233,1.1730769230769231,0.44635193133047213,0.5236051502145923,0.6180257510729614,1.3770491803278688,0.09615384615384616
12,121,103,231,1.174757281553398,0.4458874458874459,0.5238095238095238,0.7575757575757576,1.9917355371900827,0.4563106796116505
13,117,99,230,1.1818181818181819,0.43043478260869567,0.508695652173913,0.27391304347826084,2.0683760683760686,0.30303030303030304
14,114,98,228,1.163265306122449,0.4298245614035088,0.5,0.7192982456140351,0.631578947368421,1.3877551020408163
15,114,98,228,1.163265306122449,0.4298245614035088,0.5,0.7192982456140351,0.631578947368421,1.3877551020408163
16,115,97,227,1.1855670103092784,0.42731277533039647,0.5066079295154186,0.6475770925110133,0.02608695652173913,2.5670103092783507
17,109,93,226,1.1720430107526882,0.41150442477876104,0.4823008849557522,0.6769911504424779,0.23853211009174313,0.6236559139784946
18,106,89,222,1.1910112359550562,0.4009009009009009,0.4774774774774775,0.9819819819819819,0.4339622641509434,2.651685393258427
19,106,89,224,1.1910112359550562,0.39732142857142855,0.4732142857142857,0.9732142857142857,2.1132075471698113,2.157303370786517
20,102,89,226,1.146067415730337,0.3938053097345133,0.45132743362831856,0.5221238938053098,1.4313725490196079,0.1348314606741573
21,97,81,220,1.1975308641975309,0.36818181818181817,0.4409090909090909,0.8045454545454546,1.6082474226804124,1.1358024691358024
22,106,88,227,1.2045454545454546,0.3876651982378855,0.4669603524229075,0.4933920704845815,0.07547169811320754,2.8863636363636362
23,99,81,219,1.2222222222222223,0.3698630136986301,0.4520547945205479,0.3789954337899543,0.7575757575757576,2.185185185185185
24,107,89,227,1.202247191011236,0.3920704845814978,0.4713656387665198,0.22466960352422907,2.196261682242991,2.5280898876404496
25,107,90,225,1.1888888888888889,0.4,0.47555555555555556,0.7022222222222222,0.24299065420560748,0.12222222222222222
26,99,82,217,1.2073170731707317,0.3778801843317972,0.45622119815668205,0.8387096774193549,1.3131313131313131,2.8658536585365852
27,107,89,227,1.202247191011236,0.3920704845814978,0.4713656387665198,0.22466960352422907,2.196261682242991,2.5280898876404496
28,106,88,226,1.2045454545454546,0.3893805309734513,0.4690265486725664,0.49557522123893805,1.6603773584905661,1.6818181818181819
29,105,88,223,1.1931818181818181,0.39461883408071746,0.47085201793721976,0.10762331838565023,1.6,1.3522727272727273
30,103,83,221,1.2409638554216869,0.3755656108597285,0.4660633484162896,0.45701357466063347,1.6213592233009708,2.8313253012048194
31,102,84,224,1.2142857142857142,0.375,0.45535714285714285,0.5357142857142857,1.2549019607843137,0.7619047619047619
