,Blue,Green,Red,Blue : Green,Green : Red,Blue : Red,Blue * Green : Red,Green * Red : Blue,Blue * Red : Green
0,102,208,214,0.49038461538461536,0.9719626168224299,0.4766355140186916,1.0467289719626167,2.196078431372549,0.3269230769230769
1,95,196,200,0.4846938775510204,0.98,0.475,0.94,0.3368421052631579,0.2857142857142857
2,98,198,200,0.494949494949495,0.99,0.49,1.02,1.7959183673469388,0.7272727272727273
3,87,188,192,0.4627659574468085,0.9791666666666666,0.453125,1.1875,0.0,0.3404255319148936
4,95,199,201,0.47738693467336685,0.9900497512437811,0.472636815920398,1.0796019900497513,0.6631578947368421,0.7587939698492462
5,100,206,210,0.4854368932038835,0.9809523809523809,0.47619047619047616,0.5714285714285714,2.52,0.038834951456310676
6,97,198,204,0.4898989898989899,0.9705882352941176,0.47549019607843135,0.029411764705882353,2.0618556701030926,0.3838383838383838
7,92,198,200,0.46464646464646464,0.99,0.46,0.2,1.9130434782608696,1.1313131313131313
8,92,198,201,0.46464646464646464,0.9850746268656716,0.4577114427860697,0.19900497512437812,1.2826086956521738,0.30303030303030304
9,95,198,204,0.4797979797979798,0.9705882352941176,0.46568627450980393,0.5980392156862745,2.1052631578947367,0.9090909090909091
10,96,200,204,0.48,0.9803921568627451,0.47058823529411764,0.0,1.0,0.64
11,99,202,206,0.4900990099009901,0.9805825242718447,0.48058252427184467,0.14563106796116504,1.4141414141414141,0.8415841584158416
12,101,202,206,0.5,0.9805825242718447,0.49029126213592233,0.8640776699029126,1.386138613861386,0.3465346534653465
13,94,200,204,0.47,0.9803921568627451,0.46078431372549017,0.5490196078431373,1.0212765957446808,1.16
14,97,201,205,0.48258706467661694,0.9804878048780488,0.47317073170731705,0.2,2.5257731958762886,0.8606965174129353
15,91,197,200,0.4619289340101523,0.985,0.455,0.035,2.5494505494505493,0.1218274111675127
16,101,202,206,0.5,0.9805825242718447,0.49029126213592233,0.8640776699029126,1.386138613861386,0.3465346534653465
17,101,201,210,0.5024875621890548,0.9571428571428572,0.48095238095238096,0.36666666666666664,2.237623762376238,1.0845771144278606
18,85,188,194,0.4521276595744681,0.9690721649484536,0.4381443298969072,0.5567010309278351,1.411764705882353,0.5638297872340425
19,90,191,197,0.4712041884816754,0.9695431472081218,0.45685279187817257,0.19289340101522842,2.7888888888888888,0.34554973821989526
20,89,190,196,0.46842105263157896,0.9693877551020408,0.45408163265306123,0.07142857142857142,1.348314606741573,0.18947368421052632
21,96,198,200,0.48484848484848486,0.99,0.48,0.32,1.8333333333333333,0.0
22,69,181,190,0.3812154696132597,0.9526315789473684,0.3631578947368421,1.0578947368421052,1.2463768115942029,0.2983425414364641
23,85,201,210,0.4228855721393035,0.9571428571428572,0.40476190476190477,0.9,2.6588235294117646,0.9253731343283582
24,79,195,204,0.40512820512820513,0.9558823529411765,0.3872549019607843,0.22058823529411764,1.2658227848101267,1.2512820512820513
25,75,186,196,0.4032258064516129,0.9489795918367347,0.3826530612244898,0.6428571428571429,1.3866666666666667,0.5806451612903226
26,82,188,199,0.43617021276595747,0.9447236180904522,0.4120603015075377,0.2814070351758794,0.43902439024390244,1.0106382978723405
27,85,190,198,0.4473684210526316,0.9595959595959596,0.4292929292929293,0.1111111111111111,2.8705882352941177,1.0
28,96,192,199,0.5,0.964824120603015,0.4824120603015075,0.0,0.6666666666666666,0.8333333333333334
29,88,188,197,0.46808510638297873,0.9543147208121827,0.4467005076142132,0.8121827411167513,1.9545454545454546,0.9787234042553191
30,89,195,207,0.4564102564102564,0.9420289855072463,0.42995169082125606,0.9806763285024155,1.9438202247191012,1.2666666666666666
31,82,187,202,0.4385026737967914,0.9257425742574258,0.40594059405940597,1.1386138613861385,1.7317073170731707,0.9625668449197861
32,82,187,202,0.4385026737967914,0.9257425742574258,0.40594059405940597,1.1386138613861385,1.7317073170731707,0.9625668449197861
33,101,206,214,0.49029126213592233,0.9626168224299065,0.4719626168224299,0.32710280373831774,0.5148514851485149,0.5339805825242718
34,80,183,191,0.4371584699453552,0.9581151832460733,0.418848167539267,0.2513089005235602,1.7125,0.9617486338797814
35,89,188,192,0.4734042553191489,0.9791666666666666,0.4635416666666667,0.4791666666666667,0.0,1.0212765957446808
36,103,202,206,0.5099009900990099,0.9805825242718447,0.5,0.33980582524271846,1.3592233009708738,1.118811881188119
37,106,205,211,0.5170731707317073,0.9715639810426541,0.5023696682464455,1.0710900473933649,2.330188679245283,0.4585365853658537
38,97,196,202,0.49489795918367346,0.9702970297029703,0.4801980198019802,0.33663366336633666,1.731958762886598,0.7040816326530612
39,93,189,196,0.49206349206349204,0.9642857142857143,0.4744897959183674,0.8622448979591837,1.935483870967742,0.2751322751322751
40,91,185,192,0.4918918918918919,0.9635416666666666,0.4739583333333333,1.015625,2.10989010989011,0.34594594594594597
41,90,185,195,0.4864864864864865,0.9487179487179487,0.46153846153846156,0.05128205128205128,2.611111111111111,0.7675675675675676
42,90,186,193,0.4838709677419355,0.9637305699481865,0.46632124352331605,0.5181347150259067,0.6444444444444445,1.1720430107526882
43,103,199,206,0.5175879396984925,0.9660194174757282,0.5,0.0825242718446602,0.3300970873786408,1.135678391959799
44,96,192,199,0.5,0.964824120603015,0.4824120603015075,0.0,0.6666666666666666,0.8333333333333334
45,100,199,206,0.5025125628140703,0.9660194174757282,0.4854368932038835,0.912621359223301,0.34,0.6030150753768844
46,89,187,194,0.47593582887700536,0.9639175257731959,0.4587628865979381,0.015463917525773196,2.044943820224719,0.6096256684491979
47,101,198,204,0.51010101010101,0.9705882352941176,0.4950980392156863,0.14705882352941177,1.9801980198019802,0.6262626262626263
48,91,190,194,0.4789473684210526,0.979381443298969,0.4690721649484536,0.711340206185567,2.769230769230769,1.2947368421052632
49,93,189,196,0.49206349206349204,0.9642857142857143,0.4744897959183674,0.8622448979591837,1.935483870967742,0.2751322751322751
50,94,191,197,0.49214659685863876,0.9695431472081218,0.47715736040609136,0.17258883248730963,2.6702127659574466,0.450261780104712
