epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,1.1394166946411133,1.8775595426559448
1,0.0010000000474974513,0.8096314668655396,1.9542937278747559
2,0.0010000000474974513,0.7964679598808289,1.3896300792694092
3,0.0010000000474974513,0.7402814626693726,3.740168571472168
4,0.0010000000474974513,0.7252994179725647,3.597912311553955
5,0.0010000000474974513,0.708957314491272,7.2598066329956055
6,0.0010000000474974513,0.6841793060302734,2.3090014457702637
7,0.0010000000474974513,0.6769779920578003,1.8722184896469116
8,0.00010000000474974513,0.6631299257278442,1.7308346033096313
9,0.00010000000474974513,0.6605010628700256,1.6084028482437134
10,0.00010000000474974513,0.658706784248352,1.4788028001785278
11,0.00010000000474974513,0.6537240147590637,1.3686763048171997
12,0.00010000000474974513,0.6532775163650513,1.2876135110855103
13,0.00010000000474974513,0.6558151245117188,1.2079952955245972
14,0.00010000000474974513,0.6513209939002991,1.145951747894287
15,0.00010000000474974513,0.6526921391487122,1.1349300146102905
16,0.00010000000474974513,0.6491708159446716,1.059154987335205
17,0.00010000000474974513,0.6479311585426331,1.0431005954742432
18,0.00010000000474974513,0.6486319899559021,0.9989287853240967
19,0.00010000000474974513,0.6503923535346985,0.9865607023239136
20,0.00010000000474974513,0.6436560153961182,0.935912549495697
21,0.00010000000474974513,0.6463403701782227,0.8976323008537292
22,0.00010000000474974513,0.6470843553543091,0.8763182163238525
23,0.00010000000474974513,0.6455008387565613,0.8481408357620239
24,0.00010000000474974513,0.6455722451210022,0.841974139213562
25,0.00010000000474974513,0.645010769367218,0.834566056728363
26,0.00010000000474974513,0.6431456208229065,0.8153889179229736
27,0.00010000000474974513,0.6458795666694641,0.8145331144332886
28,0.00010000000474974513,0.6421744227409363,0.7943881750106812
29,0.00010000000474974513,0.6405824422836304,0.7791414260864258
30,0.00010000000474974513,0.6419904232025146,0.7847294807434082
31,0.00010000000474974513,0.6428564190864563,0.7657331824302673
32,0.00010000000474974513,0.6398974657058716,0.7475163340568542
33,0.00010000000474974513,0.6412794589996338,0.747985303401947
34,0.00010000000474974513,0.6423291563987732,0.7321914434432983
35,0.00010000000474974513,0.6415707468986511,0.7265560626983643
36,0.00010000000474974513,0.6389369964599609,0.728222668170929
